residue,drugbank_id,associated_mbss
HEV,DB02199,"[77233, 77234]"
HEZ,DB02210,"[1171, 7762, 7763, 7764, 7809, 7810, 7811, 29693, 30598, 30599, 30600, 30601, 68736, 73740]"
HFA,DB02494,[111838]
HGU,DB03770,[64836]
HH2,DB04047,[77439]
HHH,DB07896,"[2055, 2060]"
HIC,DB04151,"[10265, 10286, 11999, 12293, 12294, 12307, 12314, 12315, 12316, 12926, 13390, 13391, 13403, 13408, 13996, 13997, 14008, 14009, 14016, 14017, 14033, 14034, 14041, 14049, 14056, 14058, 14059, 14068, 14069, 14083, 14119, 14400, 14404, 14411, 14420, 14424, 14428, 15111, 15129, 15137, 15183, 15184, 15203, 16055, 16058, 16059, 16081, 16299, 16302, 16306, 16307, 16308, 16309, 16315, 16728, 16729, 16866, 16867, 16868, 16869, 16870, 16871, 16872, 16873, 16877, 16878, 16911, 16912, 16913, 16914, 16916, 16929, 16930, 16931, 16932, 16945, 16946, 16947, 16948, 16949, 16950, 16951, 17341, 17348, 17349, 17376, 17381, 17398, 17399, 17400, 17401, 17495]"
HIF,DB04384,[77202]
HIS,DB00117,"[6189, 6190, 6232, 6233, 39749, 39754, 74031, 74033, 74036, 74038, 74794, 79843, 79844, 79845, 79846, 79847, 79848, 97891, 98416, 98434, 98455, 98621, 98645, 98758, 98760, 98761, 98772, 98775, 98848, 98940, 98941, 98942, 98947, 105026, 105027, 113619, 130796, 130797, 130798, 130799, 130800, 130801, 130819, 130820, 130821, 130822, 130823, 130824]"
HLE,DB07900,"[105058, 105065]"
HM2,DB07901,[1849]
HM4,DB07902,[1949]
HM5,DB07903,[1955]
HPA,DB04076,"[54987, 55023, 55382, 55383, 76634, 76652, 124530, 124542]"
HPI,DB02307,[108369]
HPL,DB04105,"[108364, 108366]"
HPR,DB02472,"[108497, 110842]"
HPX,DB07914,"[25175, 25176, 25177, 25178]"
HPY,DB03939,"[20604, 20605, 20606, 20607, 20608, 20609, 106802, 106803, 115666, 115667]"
HQE,DB09526,[129249]
HQO,DB07918,"[64120, 64134]"
HQQ,DB03368,"[103594, 103599, 103609]"
HQY,DB11145,"[45294, 45295, 127079, 127080]"
HRG,DB03974,"[27689, 27690, 38038, 38039, 49311, 64908, 64909, 101473]"
HS4,DB07920,[120622]
HS6,DB07921,[120628]
HS7,DB07922,[120624]
HSL,DB02624,"[111353, 111354]"
HSM,DB05381,"[65425, 65932, 65940, 66419, 66422, 72396, 105053, 105054]"
HSO,DB03811,"[105032, 130685, 130686, 130688]"
HTA,DB07926,"[103351, 103353]"
HWS,DB01747,[77406]
HXD,DB07930,"[28714, 28715, 28755, 28756]"
HYO,DB00424,"[53051, 53072, 100469, 100486, 101466, 101469]"
HYP,DB08847,"[64398, 64400]"
HZQ,DB15933,"[91097, 91098]"
I38,DB07939,"[116533, 116534, 116536, 116537, 116547, 116548, 116550, 116551]"
I52,DB01630,[104029]
I58,DB01835,"[66265, 66266, 66298, 66299, 66327, 66328]"
I7A,DB01144,[116303]
IAC,DB07950,"[27450, 27451, 27452, 39186, 39187, 39188, 100777, 100778]"
IBM,DB07954,[122220]
IBO,DB17705,"[114893, 114895]"
IH6,DB07964,"[110724, 110730]"
IHG,DB02143,"[65764, 65765]"
IHS,DB01666,"[98896, 98899, 101132]"
II2,DB07971,"[67979, 67988, 67998, 68007]"
II4,DB07972,[67983]
ILE,DB00167,"[117721, 119276, 119277]"
ILO,DB03305,"[65081, 65082]"
IMD,DB03366,"[4591, 4613, 4615, 4616, 4944, 13055, 17730, 17731, 24477, 24532, 24533, 26915, 27899, 27900, 27902, 27903, 27907, 27908, 28237, 28244, 32271, 32272, 32273, 32274, 32275, 32276, 32277, 32278, 32279, 32280, 32281, 32282, 32283, 32284, 32285, 32286, 32287, 32288, 32289, 32290, 32291, 32292, 32293, 32294, 32295, 32296, 32297, 32298, 32299, 32300, 32301, 32302, 32303, 32304, 32305, 32306, 32307, 32308, 32309, 32310, 32311, 32312, 32313, 32314, 32315, 32316, 32317, 32318, 32319, 32320, 32321, 32322, 32323, 32324, 32325, 32326, 32327, 32328, 32329, 32330, 32331, 32332, 32333, 32334, 32335, 32336, 32337, 32338, 32339, 32340, 32341, 32342, 32512, 32514, 32516, 32518, 37882, 38153, 38154, 39108, 39109, 39110, 39111, 39112, 39113, 39114, 39115, 54964, 54965, 55215, 55216, 55222, 55223, 55226, 55227, 55231, 55232, 55603, 55604, 56388, 61042, 61043, 61086, 61087, 63857, 63873, 64070, 64071, 64152, 64153, 64929, 64935, 64940, 64948, 64950, 65027, 65103, 65122, 65426, 65436, 65815, 65938, 65948, 65949, 65950, 66111, 66134, 66372, 66417, 66421, 66432, 67004, 67045, 67171, 67221, 67222, 67235, 67236, 67330, 67459, 67514, 68002, 68099, 68109, 68115, 68116, 68122, 69236, 69238, 69252, 69254, 69468, 69469, 69471, 69473, 69477, 69607, 69608, 69616, 69617, 69618, 69619, 69956, 69957, 69958, 69959, 69960, 70195, 70433, 70610, 70611, 70979, 71067, 71319, 71618, 71628, 71657, 71692, 71708, 71709, 71710, 71711, 71712, 71755, 71758, 72244, 72246, 72324, 72325, 72397, 72958, 72959, 73117, 73118, 73126, 73131, 73192, 73195, 73196, 73198, 73210, 73711, 73715, 74156, 74296, 74361, 74559, 75192, 75201, 75216, 75219, 75292, 75306, 75351, 75486, 75487, 75551, 75903, 75955, 75956, 75957, 75958, 75979, 76133, 76134, 76140, 76246, 76297, 76483, 76542, 76543, 76544, 76545, 76564, 76565, 76570, 76571, 76586, 76587, 76609, 76610, 76617, 76618, 76677, 76687, 76688, 76701, 77000, 77002, 78271, 78272, 81825, 81827, 86480, 86481, 86482, 86483, 86484, 86485, 86486, 86487, 86488, 86489, 86490, 86491, 86492, 86493, 86494, 86495, 86496, 86497, 86498, 86499, 86500, 86501, 86502, 86503, 86504, 86505, 86506, 86507, 86508, 86509, 86510, 86511, 86512, 86513, 86514, 86515, 86516, 86517, 86518, 86519, 86520, 86521, 86522, 86523, 86524, 86525, 86526, 86527, 86867, 86985, 86989, 88045, 88066, 88102, 88103, 88104, 88105, 88668, 88669, 94887, 94888, 94889, 94890, 94891, 94892, 94893, 94894, 94895, 94896, 94897, 94898, 94899, 94900, 94901, 94902, 94903, 94904, 94905, 94906, 94907, 94908, 94909, 94910, 94911, 94912, 94913, 94914, 94915, 94916, 94917, 94918, 94919, 94920, 94921, 94922, 94923, 94924, 94925, 94926, 94927, 94928, 94929, 94930, 94931, 94932, 94933, 94934, 96937, 97104, 97105, 97120, 97121, 97198, 97200, 97201, 97202, 97203, 97307, 97427, 97428, 97429, 97430, 97431, 97432, 97559, 97560, 97591, 97592, 97897, 98227, 98494, 98495, 98496, 98497, 98498, 98499, 98500, 98501, 98870, 98895, 98919, 98932, 98933, 100351, 100358, 100360, 100368, 100603, 101242, 101464, 105033, 105833, 105834, 105835, 105852, 105867, 107935, 107936, 107938, 107939, 107940, 107941, 109307, 109308, 112126, 112127, 113920, 113921, 113965, 113967, 113996, 113997, 113998, 114000, 114274, 114303, 114308, 114332, 114337, 114442, 114462, 114466, 115822, 115823, 115870, 115871, 115872, 115873, 115912, 115913, 115940, 115941, 117072, 117074, 117075, 117076, 117077, 117079, 117081, 117083, 117084, 117085, 117086, 117088, 117090, 117092, 117093, 117094, 117095, 117097, 117573, 118444, 118766, 118767, 118768, 118769, 118803, 118804, 118807, 118836, 118837, 118877, 118878, 118879, 118880, 118881, 118882, 120335, 120337, 120339, 120340, 120341, 120343, 120344, 120345, 120347, 120348, 120349, 120350, 120352, 120353, 120361, 120363, 120365, 120366, 120367, 120369, 120370, 120388, 120394, 120676, 122146, 122372, 122373, 122374, 122655, 122821, 123182, 124746, 124750, 125283, 125284, 125285, 125286, 125288, 125289, 125290, 125291, 125341, 125343, 125345, 125353, 125354, 125356, 125391, 125393, 125395, 125397, 125399, 125401, 125406, 125409, 125653, 125655, 125656, 125657, 125658, 125846, 126862, 126870, 126872, 126943, 126944, 126946, 126947, 127393, 127394, 127407, 127412, 127936, 128136, 129288, 129291, 129293, 129296, 130502, 130895, 131040, 131041, 131042, 132550, 133673, 133675, 133679, 133689, 134043, 134057, 135025, 135026, 135028, 135029, 135035, 135301, 135306]"
IME,DB03840,"[7913, 7926, 8013, 8014, 8024]"
IMF,DB04231,[18502]
IMN,DB00328,[132260]
IN7,DB07986,[102230]
IN8,DB07987,[116998]
IN9,DB07988,"[108547, 108617, 108620, 108623, 108632, 108635]"
IND,DB04532,"[20275, 20276, 20277, 20319, 20320, 20321, 20322, 20323, 20324, 20870, 20871, 20872, 21722, 21723, 21724, 22167, 22168, 22169, 67648, 67703, 67715, 67726, 67737, 67776]"
INE,DB01997,"[64806, 64807, 64813, 64814, 65827, 65828, 65844, 65845, 66073, 66074, 72292, 72293]"
INF,DB04316,[103944]
ING,DB04058,"[103962, 103982, 103993, 104004]"
INQ,DB03262,[104248]
INS,DB13178,"[22810, 22811, 23497, 24072, 24073]"
INV,DB02429,[104249]
INW,DB04180,[104250]
IOA,DB03039,[104252]
IOC,DB04549,[104251]
IOE,DB02221,[104253]
IOF,DB02861,[104269]
IOL,DB03002,"[65091, 65092, 69474, 69475, 69484, 69485]"
IOY,DB04713,"[109501, 109502]"
IP1,DB03550,"[35562, 35652, 39368, 44044, 50495]"
IPA,DB02325,"[37447, 37448, 37449, 37450, 38095, 117008, 117009, 122543, 122544, 122573, 123623, 124330, 124340, 124342, 126302, 126303, 135128]"
IPB,DB02513,"[75752, 75760, 75773, 75778]"
IPE,DB04714,"[58910, 58911, 58913, 58931, 60884, 60890, 91448, 91449, 91450, 91451, 91452, 91453, 93811, 93812, 93813, 93814, 93815, 93816, 93845, 93846, 93847, 93848, 93849, 93850, 93863, 93864, 93865, 93866, 93867, 93868]"
IPH,DB03255,"[25760, 25761, 25762, 25763, 67027, 71510, 83029, 103420]"
IPM,DB04279,"[81995, 81996, 85097, 85098, 85110, 85111, 87460, 87461, 88670, 88671]"
IPO,DB01980,"[104331, 104332, 104333, 104334]"
IPU,DB04018,"[65095, 65096]"
ISP,DB03976,"[125604, 125606, 125722, 125724]"
ISQ,DB04329,[65203]
ISU,DB02589,"[77005, 77006]"
ITU,DB02234,"[64839, 64840, 64911, 64912, 64916, 64918, 64941, 64942, 64945, 64946, 65855, 65856, 65999, 66000, 67540, 67541, 67570, 67571, 69976, 69977, 71852, 71853, 71888, 71889]"
IYG,DB02598,[8273]
IYT,DB04150,[8390]
JAN,DB04960,"[107707, 125838, 132602]"
JI3,DB08018,"[68500, 68501, 68706, 68707]"
JI7,DB08019,"[68464, 68465, 68715, 68716]"
JKE,DB14026,[129264]
JST,DB08028,[104541]
JT5,DB08029,"[114941, 123800]"
JT6,DB08030,[114943]
JZ3,DB11359,"[71177, 73152, 74100, 74111, 74112, 74113, 74122, 74134, 75013, 75014, 75020]"
KCX,DB03801,"[1443, 1444, 1445, 1446, 1507, 1508, 1509, 1510, 1517, 1518, 1547, 1548, 1570, 1571, 1790, 1791, 1792, 1793, 1799, 1801, 1802, 1803, 1806, 1807, 1808, 1809, 1993, 1994, 1998, 1999, 2002, 2003, 2056, 2057, 2061, 2062, 2063, 2064, 2065, 2066, 2081, 2082, 2083, 2084, 2089, 2090, 2091, 2092, 2093, 2094, 2095, 2096, 2102, 2103, 2104, 2105, 2107, 2108, 2109, 2110, 2125, 2126, 2127, 2128, 2140, 2141, 2142, 2143, 2151, 2152, 2153, 2154, 2193, 2194, 2243, 2244, 2245, 2246, 2252, 2253, 2254, 2255, 2271, 2272, 2273, 2274, 2277, 2278, 2279, 2280, 2281, 2282, 2283, 2284, 2285, 2286, 2287, 2288, 2289, 2290, 2291, 2292, 2293, 2294, 2305, 2306, 2307, 2308, 2309, 2310, 2311, 2312, 2314, 2315, 2316, 2317, 2326, 2327, 2328, 2329, 2370, 2371, 2382, 2383, 2384, 2385, 2402, 2403, 2404, 2405, 2410, 2411, 2418, 2419, 2422, 2423, 2435, 2436, 2437, 2438, 2457, 2458, 2459, 2460, 2461, 2462, 2463, 2464, 2470, 2471, 2475, 2476, 2477, 2478, 2484, 2485, 2486, 2487, 2488, 2489, 2519, 2520, 2521, 2522, 2596, 2597, 2598, 2599, 2600, 2601, 2602, 2603, 2606, 2607, 2608, 2609, 2645, 2646, 2647, 2648, 2681, 2682, 2683, 2684, 2742, 2743, 2744, 2745, 2746, 2747, 2748, 2749, 2756, 2757, 2758, 2759, 2767, 2768, 2769, 2770, 2774, 2775, 2776, 2777, 2790, 2791, 2792, 2793, 2794, 2795, 2796, 2797, 2798, 2799, 2800, 2801, 2802, 2803, 2804, 2805, 2807, 2808, 2809, 2810, 2811, 2812, 2813, 2814, 2815, 2816, 2817, 2818, 2821, 2822, 2823, 2824, 2827, 2828, 2829, 2830, 2991, 2992, 2993, 2994, 3816, 3817, 3818, 3819, 3876, 3877, 3880, 3881, 3887, 3888, 3892, 3893, 3894, 3895, 3910, 3911, 3912, 3913, 3930, 3931, 3932, 3933, 3946, 3947, 3948, 3949, 3953, 3954, 3955, 3956, 3957, 3958, 3959, 3960, 3961, 3962, 3963, 3964, 3965, 3966, 3967, 3968, 3972, 3973, 3974, 3975, 3976, 3977, 3978, 3979, 3983, 3984, 3985, 3986, 3990, 3991, 3992, 3993, 3997, 3998, 3999, 4000, 4004, 4005, 4006, 4007, 4019, 4020, 4021, 4022, 4023, 4024, 4025, 4026, 4027, 4028, 4029, 4030, 4044, 4045, 4046, 4047, 4115, 4116, 4117, 4118, 4150, 4151, 4152, 4153, 4166, 4167, 4168, 4169, 4207, 4208, 4209, 4210, 4252, 4253, 4254, 4255, 4280, 4281, 4282, 4283, 4611, 4612, 4625, 4626, 4627, 4628, 4639, 4640, 4641, 4642, 4643, 4644, 4645, 4646, 4648, 4649, 4650, 4651, 4652, 4653, 4654, 4655, 4656, 4657, 4658, 4659, 4660, 4661, 4662, 4663, 4664, 4665, 4666, 4667, 4692, 4693, 4694, 4695, 4709, 4710, 4711, 4712, 4724, 4725, 4726, 4727, 6185, 6186, 6187, 6188, 6191, 6192, 6193, 6194, 6195, 6196, 6197, 6198, 6201, 6202, 6203, 6204, 6205, 6206, 6207, 6208, 6212, 6213, 6214, 6215, 6226, 6227, 6228, 6229, 6235, 6236, 6237, 6238, 24545, 24546, 24547, 24548, 24549, 24550, 24551, 24552, 25472, 25473, 25474, 25475, 26362, 26363, 26364, 26365, 26366, 26367, 26368, 26369, 26370, 26371, 26372, 26373, 26374, 26375, 26376, 26377, 26378, 26379, 26380, 26381, 26382, 26383, 26384, 26385, 26399, 26400, 26401, 26402, 26403, 26404, 26405, 26406, 26407, 26408, 26409, 26410, 26411, 26412, 26413, 26414, 26415, 26416, 26417, 26418, 26419, 26420, 26421, 26422, 27391, 27392, 27393, 27394, 27399, 27400, 27401, 27402, 27403, 27404, 27405, 27406, 27407, 27408, 27409, 27410, 27411, 27412, 27413, 27414, 27424, 27425, 27426, 27427, 27429, 27430, 27431, 27432, 31182, 31183, 31192, 31193, 31195, 31196, 31218, 31219, 31222, 31223, 37928, 37935, 37936, 37937, 58058, 58059, 77805, 77806, 77807, 77808, 77809, 77810, 82388, 82389, 82390, 82391, 82439, 82440, 82488, 82489, 84146, 93791, 93796, 93803, 93804, 93807, 93808, 93859, 93860, 93861, 93862, 93886, 93887, 93888, 93889, 96133, 96134, 96135, 96136, 96137, 96138, 96139, 96140, 96141, 96142, 96143, 96144, 96152, 96153, 96154, 96155, 96156, 96157, 96160, 96161, 96162, 96163, 96164, 96165, 96174, 96175, 96176, 96177, 96178, 96179, 96180, 96181, 96182, 96183, 96184, 96185, 96186, 96187, 96188, 96189, 96190, 96191, 96217, 96218, 96219, 96220, 96221, 96222, 96223, 96224, 96225, 96226, 96227, 96228, 96229, 96230, 96231, 96232, 96233, 96234, 96235, 96236, 96237, 96238, 96239, 96240, 96245, 96246, 96247, 96248, 96249, 96250, 96251, 96252, 96253, 96254, 96255, 96256, 96260, 96261, 96262, 96263, 96264, 96265, 96269, 96270, 96271, 96272, 96273, 96274, 96299, 96300, 96301, 96302, 96303, 96304, 96310, 96311, 96312, 96341, 96342, 96343, 96344, 96345, 96346, 96361, 96362, 96363, 96364, 96365, 96366, 96367, 96368, 96369, 96370, 96371, 96372, 96373, 96374, 96375, 96376, 96377, 96378, 96379, 96380, 96381, 96382, 96383, 96384, 96385, 96386, 96391, 96392, 96393, 96394, 96395, 96396, 96397, 96398, 96399, 96400, 96401, 96402, 96403, 96404, 96405, 96406, 96407, 96408, 96409, 96410, 96411, 96412, 96413, 96414, 96423, 96424, 96425, 96426, 96427, 96428, 96589, 96590, 96591, 96592, 96593, 96594, 96603, 96604, 96605, 96606, 96607, 96608, 96995, 96996, 96997, 96998, 96999, 97000, 97131, 97132, 97233, 97234, 97235, 97236, 97237, 97238, 97860, 97861, 97862, 97863, 97864, 97865, 97866, 97867, 97868, 97869, 97870, 97871, 98069, 98070, 98071, 98072, 98073, 98074, 98129, 98130, 98131, 98132, 98133, 98134, 98199, 98200, 98201, 98202, 98203, 98204, 98211, 98212, 98213, 98214, 98215, 98216, 98230, 98231, 98232, 98233, 98234, 98235, 98238, 98239, 98240, 98241, 98242, 98243, 98246, 98247, 98248, 98249, 98250, 98251, 98265, 98266, 98267, 98268, 98269, 98270, 98398, 98399, 98400, 98401, 98402, 98403, 98421, 98422, 98423, 98424, 98425, 98426, 98435, 98436, 98437, 98438, 98439, 98440, 98441, 98442, 98443, 98444, 98445, 98446, 98474, 98475, 98476, 98477, 98478, 98479, 98480, 98481, 98482, 98483, 98484, 98485, 98876, 98877, 98950, 98951, 98952, 98953, 98954, 98955, 99060, 99061, 99062, 99063, 99064, 99065, 99231, 99232, 99233, 99234, 99235, 99236, 99237, 99238, 99239, 99240, 99241, 99242, 99289, 99290, 99291, 99292, 99293, 99294, 99432, 99433, 99434, 99435, 99436, 99437, 100213, 100214, 100215, 100216, 100217, 100218, 100269, 100270, 100271, 100272, 100273, 100274, 100309, 100310, 100311, 100312, 100313, 100314, 100402, 100403, 100404, 100405, 100406, 100407, 100439, 100440, 100441, 100442, 100443, 100444, 100460, 100461, 100462, 100463, 100464, 100465, 100609, 100610, 100611, 100612, 100613, 100614, 100615, 100616, 100617, 100618, 100619, 100620, 100621, 100622, 100623, 100624, 100625, 100626, 100627, 100628, 100629, 100630, 100631, 100632, 100643, 100644, 100645, 100646, 100647, 100648, 100649, 100650, 100651, 100652, 100653, 100654, 100655, 100656, 100657, 100658, 100659, 100660, 100662, 100663, 100664, 100665, 100666, 100667, 100668, 100669, 100670, 100671, 100672, 100673, 100674, 100675, 100676, 100677, 100678, 100679, 100716, 100717, 100718, 100719, 100720, 100721, 100729, 100730, 100731, 100732, 100733, 100734, 100753, 100754, 100755, 100756, 100757, 100758, 100870, 100871, 100872, 100873, 100874, 100875, 100887, 100888, 100889, 100890, 100891, 100892, 100893, 100894, 100895, 100896, 100897, 100898, 100899, 100900, 100901, 100902, 100903, 100904, 100905, 100906, 100907, 100908, 100909, 100910, 100968, 100970, 100971, 100972, 100973, 100974, 100991, 100992, 100993, 100994, 100995, 100996, 101169, 101170, 101171, 101172, 101173, 101174, 101180, 101181, 101182, 101183, 101184, 101185, 103244, 103245, 103246, 103247, 103719, 103720, 103721, 103722, 103723, 103724, 103725, 103726, 103727, 103728, 103729, 103730, 103731, 103732, 103733, 103734, 103760, 103761, 103762, 103763, 103764, 103765, 103766, 103767, 103843, 103844, 103845, 103846, 103847, 103848, 103849, 103850, 104485, 104486, 104487, 104488, 106113, 106114, 106115, 106116, 106117, 106118, 106119, 106120, 106640, 106641, 106642, 106643, 106644, 106645, 106646, 106647, 106648, 106649, 106650, 106651, 106652, 106653, 106654, 106655, 106674, 106675, 106676, 106677, 106678, 106679, 106680, 106681, 106682, 106683, 106684, 106685, 106686, 106687, 106688, 106689, 106792, 106793, 106795, 106796, 106798, 106799, 106800, 106801, 106873, 106874, 106887, 106888, 106889, 106890, 106936, 106937, 106938, 106939, 106940, 106941, 106942, 106943, 106944, 106945, 106946, 106947, 106948, 106949, 106950, 106951, 106967, 106968, 106969, 106970, 106971, 106972, 106973, 106974, 106975, 106976, 106977, 106978, 106979, 106980, 106981, 106982, 106983, 106984, 106985, 106986, 109594, 109595, 109596, 109597, 110182, 110183, 110186, 110187, 110190, 110191, 110194, 110195, 111135, 111136, 111137, 111138, 111139, 111140, 111141, 111142, 111143, 111144, 111145, 111146, 111147, 111148, 111149, 111150, 111153, 111154, 111155, 111156, 111157, 111158, 111159, 111160, 111161, 111162, 111163, 111164, 111165, 111166, 111167, 111168, 112354, 112355, 112356, 112357, 112398, 112399, 112400, 112401, 112403, 112404, 112405, 112406, 113591, 113592, 113593, 113594, 113595, 113596, 113597, 113598, 113604, 113605, 113606, 113607, 113608, 113609, 113610, 113611, 113671, 113672, 113673, 113674, 113675, 113676, 113677, 113678, 113742, 113743, 113744, 113745, 113746, 113747, 113748, 113749, 114082, 114083, 115715, 115716, 115717, 115718, 115719, 115720, 115725, 115726, 115754, 115755, 115756, 115757, 115763, 115764, 115769, 115770, 115794, 115795, 115796, 115797, 115866, 115867, 115868, 115869, 115870, 115871, 115872, 115873, 115874, 115875, 115876, 115877, 115888, 115889, 115900, 115901, 115912, 115913, 115940, 115941, 115942, 115943, 115944, 115945, 115954, 115955, 115968, 115969, 116706, 116707, 116708, 116709, 116731, 116732, 116733, 116734, 116735, 116736, 118632, 118633, 118634, 118635, 118638, 118639, 118640, 118641, 118652, 118653, 118654, 118655, 118669, 118670, 118671, 118672, 118673, 118674, 118675, 118676, 118695, 118696, 118697, 118698, 118700, 118701, 118702, 118703, 119955, 119956, 119957, 119958, 119959, 119960, 119961, 119962, 120130, 120133, 120134, 120137, 120138, 120141, 120142, 120145, 120146, 120149, 120150, 120153, 120154, 120157, 120158, 120161, 120731, 120732, 120733, 120734, 121896, 121897, 122322, 122323, 122324, 122325, 122326, 122327, 122328, 122329, 122362, 122363, 122364, 122365, 122366, 122367, 122368, 122369, 123634, 123635, 123636, 123637, 123638, 123639, 123640, 123641, 123642, 123643, 123644, 123645, 123646, 123647, 123648, 123649, 123704, 123705, 123706, 123707, 123778, 123779, 123780, 123781, 123782, 123783, 123784, 123785, 123786, 123787, 123788, 123789, 123790, 123791, 123792, 123793, 123895, 123896, 123897, 123898, 123899, 123900, 123901, 123902, 123903, 123904, 123905, 123906, 123907, 123908, 123909, 123910, 124421, 124422, 124423, 124424, 124425, 124426, 124427, 124428, 124429, 124430, 124431, 124432, 124461, 124462, 124463, 124464, 124465, 124466, 124495, 124496, 124497, 124498, 124534, 124535, 124536, 124537, 124570, 124571, 124572, 124573, 124770, 124771, 124773, 124774, 124775, 124776, 124791, 124792, 124799, 124800, 124831, 124832, 124851, 124852, 124860, 124861, 124868, 124869, 124870, 124871, 124872, 124873, 124889, 124890, 124891, 124892, 124893, 124894, 125895, 125896, 125897, 125898, 125899, 125900, 125901, 125902, 126564, 126565, 126566, 126567, 126828, 126829, 126830, 126831, 128450, 128451, 128452, 128454, 128455, 128456, 128532, 128533, 128534, 128535, 128536, 128537, 128538, 128540, 128541, 128542, 128553, 128554, 128555, 128557, 128558, 128559, 128568, 128569, 128570, 128572, 128573, 128574, 128576, 128577, 128578, 128579, 128580, 128581, 128582, 128583, 128584, 128585, 128586, 128587, 128588, 128589, 128590, 128591, 128592, 128593, 128594, 128595, 128596, 128597, 128598, 128599, 128600, 128601, 128602, 128603, 128604, 128605, 128606, 128607, 128609, 128610, 128611, 128612, 128613, 128614, 128623, 128624, 128625, 128626, 128628, 128629, 128630, 128631, 128632, 128633, 128634, 128635, 128636, 128637, 128639, 128640, 128641, 128642, 128673, 128674, 128676, 128677, 130665, 130666, 130667, 130668, 130669, 130670, 130691, 130701, 130702, 130727, 130728, 130729, 130730, 130735, 130736, 131316, 131317, 131326, 131327, 131328, 131329, 131767, 131768, 131769, 131770, 131771, 131772, 131773, 131774, 131798, 131799, 131800, 131801, 131805, 131806, 131807, 131808, 131839, 131840, 131852, 131853, 131860, 131861, 131865, 131866, 132425, 132426, 132427, 132428, 132429, 132430, 132431, 132432, 132436, 132437, 132438, 132439, 132440, 132441, 132442, 132443, 132474, 132475, 132476, 132477, 132478, 132479, 132480, 132481, 132490, 132491, 132502, 132503, 132603, 132604, 132605, 132606, 132681, 132682, 132683, 132684, 132809, 132810, 132811, 132812, 132864, 132865, 132866, 132867, 132868, 132869, 132870, 132871, 132914, 132915, 132916, 132917, 134003, 134004, 134005, 134006, 134007, 134008, 134009, 134010, 134013, 134014, 134015, 134016, 134025, 134026, 134027, 134028, 135182, 135187, 135189, 135190, 135191, 135192, 135193, 135194, 135288, 135289, 135290, 135291, 135292, 135293, 135294, 135295]"
KDH,DB12116,"[84623, 84624]"
KDO,DB03548,"[101522, 101523, 101524, 101525]"
KEL,DB08040,[119317]
KIF,DB02742,[106899]
KIV,DB04074,"[43597, 43598, 43599, 84138, 84139, 94355, 107801, 107802, 133723, 133724]"
KLN,DB05667,"[67450, 67875, 67914, 67926, 67938]"
KLT,DB08046,[120640]
KMP,DB01852,"[7713, 7714]"
KMT,DB02238,"[4432, 90346, 90348, 99223]"
KOJ,DB01759,"[7694, 7695, 7722, 7723, 13781, 13782, 13783, 13784]"
KRI,DB04182,"[1712, 1713]"
KTN,DB01026,"[65555, 65556]"
KTY,DB00746,[37851]
KYN,DB02070,"[9792, 9793, 16715, 16716, 16718, 16719, 16731, 16732, 18948, 18949, 18964, 18968, 18970, 18973, 75618, 75619, 75620, 75621, 75640, 75641, 75642, 75643]"
L13,DB08069,"[114365, 114366, 114367, 114368, 114369, 114370, 114371, 114372]"
L98,DB04723,"[110497, 110519, 110528]"
LAC,DB03066,"[94337, 99220, 116119, 116120, 119054, 119055]"
LAE,DB08081,[31192]
LAI,DB16873,"[98878, 98879, 98880, 98881, 98882, 98883, 98884, 98885, 98886, 98887, 98888, 98889]"
LAN,DB03696,"[71680, 74857, 74876, 75769, 75782, 75791, 75810]"
LCF,DB04725,[27377]
LDP,DB00988,"[30039, 70850, 70856, 71004, 71006, 71015, 71018]"
LEA,DB02406,[99217]
LEH,DB08086,"[68484, 68503]"
LEU,DB00149,"[4563, 4564, 80574, 80575, 80576, 80577, 90562, 90563, 90564, 90565, 103256, 103257, 105443, 105444, 105446, 105447, 105449, 105450, 105452, 105453, 105455, 105456, 105458, 105459, 106831, 106832, 106839, 111298, 111302, 111306, 111310, 117723, 119270, 119271, 119272, 119273, 119295, 119296]"
LGC,DB04564,"[117554, 117555]"
LHY,DB02652,"[100267, 100282, 103992, 104003, 104007, 104027]"
LIM,DB04039,"[77429, 96863]"
LKA,DB03414,[107369]
LKP,DB15439,"[74534, 74539]"
LLP,DB04083,"[122952, 122953]"
LNO,DB03308,[135127]
LNR,DB00368,[28081]
LPR,DB00722,"[104391, 104407, 106447, 111440, 111447, 117949]"
LSA,DB12418,"[116471, 134830]"
LSN,DB00678,"[73609, 73638, 75723, 76920]"
LU2,DB15584,[91798]
LYS,DB00123,"[2256, 2257, 30627, 30629, 30631, 30639, 31996, 32069, 32080, 32081, 49430, 49433, 49435, 49437, 50667, 50682, 50685, 83184, 83185, 83186, 83187, 83188, 83189, 83216, 83217, 83218, 83219, 83220, 83221, 86812, 86813, 86814, 86815, 86816, 86817, 86870, 86871, 86872, 86873, 86874, 86875, 88007, 88008, 88009, 88010, 88011, 88012, 88013, 88014, 88015, 88016, 88017, 88018, 88088, 88089, 88090, 88091, 88092, 88093, 88094, 88095, 88096, 88097, 88098, 88099, 105516, 109731, 109981, 119262, 123501, 123502, 135450, 135456, 135465, 135479]"
M1C,DB02408,"[1432, 1433]"
M25,DB08155,"[115525, 115583]"
M28,DB08156,"[115522, 115524, 115527]"
M29,DB08157,"[115523, 115528, 115529]"
