residue,drugbank_id,associated_mbss
5GP,DB01972,"[5875, 5876, 5905, 5906, 27902, 27903, 36313, 82490, 82508, 82529, 83252, 83253, 83254, 83255, 83700, 83701, 83702, 83703, 83800, 83801, 83808, 83809, 83816, 84826, 84857, 85157, 85163, 85167, 85540, 85541, 86675, 86693, 86727, 86736, 86745, 89219, 89220, 89221, 89222, 92120, 92121, 92122, 92123, 92125, 92135, 92137, 93078, 93079, 93080, 93081, 93082, 93083, 93086, 93087, 93088, 93089, 93090, 93091, 93092, 93093, 94445, 94471, 94502, 94524, 107953, 107968, 115965, 133615, 133616, 133617, 133618]"
5NI,DB04534,"[65793, 65794, 65837, 65838]"
5SP,DB04034,"[45519, 45520, 93555, 93556]"
606,DB07182,"[116218, 116228, 116241]"
642,DB07189,[120537]
667,DB02292,[108168]
6NI,DB03100,"[65805, 65806, 65811, 65812, 65832, 65833]"
6PC,DB05483,"[45939, 45941, 101465]"
6PG,DB02076,"[20505, 96479, 96480]"
6Z4,DB18478,[29499]
720,DB12099,[114900]
736,DB07216,[111256]
74C,DB15994,[58124]
778,DB07227,"[107678, 107692, 107696, 107706, 107708, 107710, 124937]"
792,DB07233,"[120949, 120955, 120961, 120968]"
7D6,DB12066,"[73005, 73026]"
7DE,DB01959,"[109942, 109945, 109958, 109959]"
7MR,DB07246,"[116049, 116062, 116102, 116104, 116106, 116108]"
7NI,DB02207,"[65162, 65163, 65791, 65792, 65802, 65803, 65824, 65825]"
81H,DB17758,[75724]
864,DB07269,"[116221, 116226, 116239]"
869,DB02850,"[21358, 21360, 21412, 21413]"
8BR,DB03349,"[107566, 107567]"
8MI,DB02747,"[107783, 116991]"
8MO,DB00553,"[66943, 66949, 66956, 66961]"
8MR,DB07285,"[115987, 115997, 116012, 116014, 116016, 116018]"
8OG,DB02023,"[82200, 90602, 90603, 90604, 90605, 90606, 90607, 92766, 92767, 92810, 92811, 92812, 93686, 93687, 93688, 93695, 93696, 93697, 93698, 93699, 93700, 93701, 93702, 93703, 93704, 93705, 93713, 94238, 94240, 94246, 94247, 94248]"
8PR,DB00715,[71476]
9AP,DB03369,[65068]
9CA,DB07301,"[44368, 44369, 45764, 45765, 45787, 45788, 46204, 46205, 46357, 46358, 46518, 46519, 46520, 46576, 46577, 50028, 50030]"
9CR,DB00523,"[67512, 67522, 67554, 67555]"
9CS,DB13673,"[100419, 100445, 100456, 100466, 100474, 100480, 100684, 100685, 100694, 100695, 100702, 100703, 100710, 100711, 100714, 100715, 100747, 100748]"
9DI,DB02796,"[122420, 122445]"
9IR,DB08921,"[75757, 75762]"
9MG,DB02489,[132376]
